taxonid,fName,gName,sName,friendly_name,category
17026,OTARIIDAE,Phocarctos,hookeri,Phocarctos hookeri,EN
22103,TRICHECHIDAE,Trichechus,manatus,Trichechus manatus,VU
10303,DUGONGIDAE,Hydrodamalis,gigas,Hydrodamalis gigas,EX
22102,TRICHECHIDAE,Trichechus,inunguis,Trichechus inunguis,VU
4162,DELPHINIDAE,Cephalorhynchus,hectori,Cephalorhynchus hectori,EN
9561,MUSTELIDAE,Gulo,gulo,Gulo gulo,LC
12848,MUSTELIDAE,Martes,martes,Martes martes,LC
13110,MUSTELIDAE,Melogale,everetti,Melogale everetti,EN
14018,MUSTELIDAE,Mustela,lutreola,Mustela lutreola,CR
14019,MUSTELIDAE,Mustela,lutreolina,Mustela lutreolina,LC
14020,MUSTELIDAE,Mustela,nigripes,Mustela nigripes,EN
14025,MUSTELIDAE,Mustela,africana,Mustela africana,LC
14026,MUSTELIDAE,Mustela,felipei,Mustela felipei,VU
14027,MUSTELIDAE,Mustela,strigidorsa,Mustela strigidorsa,LC
29672,MUSTELIDAE,Martes,foina,Martes foina,LC
29673,MUSTELIDAE,Meles,meles,Meles meles,LC
29674,MUSTELIDAE,Mustela,erminea,Mustela erminea,LC
29679,MUSTELIDAE,Mustela,eversmanii,Mustela eversmanii,LC
29680,MUSTELIDAE,Vormela,peregusna,Vormela peregusna,VU
40784,MUSTELIDAE,Neovison,macrodon,Neovison macrodon,EX
41626,MUSTELIDAE,Melogale,moschata,Melogale moschata,LC
41627,MUSTELIDAE,Melogale,personata,Melogale personata,LC
41629,MUSTELIDAE,Mellivora,capensis,Mellivora capensis,LC
41639,MUSTELIDAE,Galictis,cuja,Galictis cuja,LC
41640,MUSTELIDAE,Galictis,vittata,Galictis vittata,LC
41644,MUSTELIDAE,Eira,barbara,Eira barbara,LC
41645,MUSTELIDAE,Ictonyx,libycus,Ictonyx libycus,LC
41646,MUSTELIDAE,Ictonyx,striatus,Ictonyx striatus,LC
41647,MUSTELIDAE,Lyncodon,patagonicus,Lyncodon patagonicus,LC
41648,MUSTELIDAE,Martes,americana,Martes americana,LC
41649,MUSTELIDAE,Martes,flavigula,Martes flavigula,LC
41650,MUSTELIDAE,Martes,melampus,Martes melampus,LC
41652,MUSTELIDAE,Martes,zibellina,Martes zibellina,LC
41653,MUSTELIDAE,Mustela,altaica,Mustela altaica,NT
41654,MUSTELIDAE,Mustela,frenata,Mustela frenata,LC
41655,MUSTELIDAE,Mustela,kathiah,Mustela kathiah,LC
41656,MUSTELIDAE,Mustela,itatsi,Mustela itatsi,NT
41657,MUSTELIDAE,Mustela,nudipes,Mustela nudipes,LC
41658,MUSTELIDAE,Mustela,putorius,Mustela putorius,LC
41659,MUSTELIDAE,Mustela,sibirica,Mustela sibirica,LC
41661,MUSTELIDAE,Neovison,vison,Neovison vison,LC
41662,MUSTELIDAE,Poecilogale,albinucha,Poecilogale albinucha,LC
41663,MUSTELIDAE,Taxidea,taxus,Taxidea taxus,LC
41697,MUSTELIDAE,Melogale,orientalis,Melogale orientalis,LC
136242,MUSTELIDAE,Meles,anakuma,Meles anakuma,LC
136385,MUSTELIDAE,Meles,leucurus,Meles leucurus,LC
2055,OTARIIDAE,Arctocephalus,australis,Arctocephalus australis,LC
2057,OTARIIDAE,Arctocephalus,galapagoensis,Arctocephalus galapagoensis,EN
2060,OTARIIDAE,Arctocephalus,pusillus,Arctocephalus pusillus,LC
